dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
17691,38196521,Al Kabeer breaded fish fillet 1 kg,Al Kabeer,Breaded Fish Fillet,No Variant,Breaded Seafood,1 kg,1,CFBFA,BREADED FISH FILLET BULK,1 Kgs x 5 Pkts,FILLETS,94.56,85.33,81.07,exact,11.98,1,auto_high_confidence
17820,38465583,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,100.0,91.14,86.58,exact,29.82,1,auto_high_confidence
17935,38690758,Al Kabeer Zing Fish Fillets (750 gm),Al Kabeer,Breaded shrimp frozen,Spicy,Breaded Seafood,750 gm,1,CFZFB,ZING FISH FILLETS MILD SPICY,750 g. x 8,FILLETS,91.55,82.22,78.11,exact,16.6,1,auto_high_confidence
18043,38906301,Al Kabeer Zing Chicken Strips 320 gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.58,79.37,76.61,exact,22.92,1,auto_high_confidence
18044,38906305,Al Kabeer Zing Chicken Fillets (465 gm),Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,89.59,80.0,76.29,exact,22.76,1,auto_high_confidence
18098,39094997,"Al Kabeer Zing Chicken Strips, 320 gm ",Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.58,79.37,76.61,exact,22.92,1,auto_high_confidence
18120,39099558,Alkabeer Zing Chicken Strips 320 gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.58,79.37,76.61,exact,22.92,1,auto_high_confidence
18191,39183489,Al Kabeer Chicken Fillet Bulk 750 gm,Al Kabeer,Chicken Fillets-Frozen,Spicy,Marinated & Breaded,750 gm,1,CKBCFHDA,BREADED CHICKEN FILLET SPICY 750 GMS,750 GMS X 8 PKT,FILLETS,100.0,91.26,86.7,exact,46.64,1,auto_high_confidence
18273,39344616,Al Kabeer Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,100.0,91.14,86.58,exact,10.06,1,auto_high_confidence
18326,39508438,Al Kabeer Seekh Kebab Beef/Chicken 320Gm,Al Kabeer,Seekh Kabab-Frozen,No Variant,Frozen Kabab ,320 gm,1,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,KEBAB,90.56,65.67,85.5,exact,36.83,1,auto_high_confidence
18515,16674173,Al Kabeer Plain 2x400gm,Al Kabeer,Paratha-Frozen,No Variant,Frozen Pranthas,400 gm,1,VPRWWP,Plain Paratha + Free Wheat Paratha Promo 400+400 g. x 12,400+400G X 12,PARATHA-WRAPS,90.91,66.67,85.5,exact,14.41,1,auto_high_confidence
18528,16760450,Al Kabeer  ZING CHICKEN STRIPS 2X320 gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.56,78.26,77.19,exact,23.4,1,auto_high_confidence
18665,17493878,Al Kabeer Zing Chicken Strips 2x320gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,88.23,75.56,76.59,exact,23.22,1,auto_high_confidence
18720,18095106,Al Kabeer Zing Chicken Strips 2x320gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,88.23,75.56,76.59,exact,23.22,1,auto_high_confidence
18754,18445664,Al Kabeer Zng Chckn Fillts 465 Gm x 2,Al Kabeer,Chicken Fillets-Frozen,Spicy,Zing,465 gm,1,CKZF,ZING CHICKEN FILLETS 465,465 Gms x 12 Pkts,FILLETS,91.38,82.05,77.95,exact,26.52,1,auto_high_confidence
18872,19748613,Al Kabeer zing chicken stripes 320gm x 2 pieces ,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.4,80.0,76.0,exact,14.51,1,auto_high_confidence
18971,21778488,Al Kabeer Chicken Burgers 840GM,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,96.95,87.8,83.41,exact,30.0,1,auto_high_confidence
19028,22622817,Al Kabeer Zing Chicken Strips 2x320gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,88.23,75.56,76.59,exact,23.22,1,auto_high_confidence
19181,24606642,Al Kabeer Zing Chicken Strips  2x320gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,88.23,75.56,76.59,exact,23.22,1,auto_high_confidence
