dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
12627,30541794,Al Kabeer Chicken/Beef Kibbeh 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,2,BC40,BEEF CUBES,2 lb x 20 Pkts,MEAT-INDIAN-TRD,71.19,44.63,85.5,,,0,auto_high_confidence
12627,30541794,Al Kabeer Chicken/Beef Kibbeh 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,3,BVL3,VEAL LEGS 3.6,Asstd. Wt.,MEAT-INDIAN-TRD,68.77,37.7,85.5,,,0,auto_high_confidence
12627,30541794,Al Kabeer Chicken/Beef Kibbeh 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,4,CBBOT,TAYEBAT BEEF BURGERS ONION BULK,1 Kgs x 9 Pkts,BURGERS,55.08,50.0,85.5,conflict,,0,auto_high_confidence
12627,30541794,Al Kabeer Chicken/Beef Kibbeh 400 gm,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,5,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,54.24,47.62,85.5,conflict,,0,auto_high_confidence
12652,30555438,Al Kabeer Zing Chicken Strip /Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKZSDA,ZING CHICKEN STRIPS SPICY 750 GRM,750 GMS X 8 PKT,STRIPS,88.87,77.5,76.53,exact,34.52,1,auto_high_confidence
12652,30555438,Al Kabeer Zing Chicken Strip /Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,2,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,54.35,47.92,85.5,conflict,,0,auto_high_confidence
12652,30555438,Al Kabeer Zing Chicken Strip /Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,3,VVGP9,GREEN PEAS 900,900 gm x 10 Pkts,TRADING-VEG,53.62,45.83,85.5,conflict,,0,auto_high_confidence
12652,30555438,Al Kabeer Zing Chicken Strip /Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,4,VVGP,GREEN PEAS,400 gm x 20 Pkts,TRADING-VEG,53.13,44.44,85.5,conflict,,0,auto_high_confidence
12652,30555438,Al Kabeer Zing Chicken Strip /Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,5,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,51.3,39.22,85.5,conflict,,0,auto_high_confidence
12659,30561256,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,100.0,91.14,86.58,exact,29.82,1,auto_high_confidence
12659,30561256,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,2,CKBBAD,Breaded Chicken Burger Bag (56 g.),840 g. x 9,BURGERS,70.18,91.14,86.58,conflict,,0,auto_high_confidence
12659,30561256,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,57.7,57.5,85.5,conflict,,0,auto_high_confidence
12659,30561256,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,55.91,52.38,85.5,conflict,,0,auto_high_confidence
12659,30561256,Al Kabeer Breaded Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,5,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,BURGERS,55.76,51.95,85.5,conflict,,0,auto_high_confidence
12722,30704671,Al Kabeer Breaded Chicken Burgers Spicy 8's (400 gm),Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,99.77,90.72,86.19,exact,43.4,1,auto_high_confidence
12722,30704671,Al Kabeer Breaded Chicken Burgers Spicy 8's (400 gm),Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CBBAGPR,AK PRO BEEF BURGER 24,1.392 kg x 6 Pkts,BURGERS,56.37,53.7,85.5,conflict,,0,auto_high_confidence
12722,30704671,Al Kabeer Breaded Chicken Burgers Spicy 8's (400 gm),Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,56.24,53.33,85.5,conflict,,0,auto_high_confidence
12722,30704671,Al Kabeer Breaded Chicken Burgers Spicy 8's (400 gm),Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,56.19,53.19,85.5,conflict,,0,auto_high_confidence
12722,30704671,Al Kabeer Breaded Chicken Burgers Spicy 8's (400 gm),Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,BURGERS,56.08,52.87,85.5,conflict,,0,auto_high_confidence
12743,30708060,Al Kabeer Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,98.0,88.89,84.44,exact,12.85,1,auto_high_confidence
12743,30708060,Al Kabeer Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,BURGERS,85.15,75.61,71.83,exact,,0,auto_high_confidence
12743,30708060,Al Kabeer Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CKBBAD,Breaded Chicken Burger Bag (56 g.),840 g. x 9,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
12743,30708060,Al Kabeer Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
12743,30708060,Al Kabeer Chicken Burger 400 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CKKBJ,JUMBO BREADED CHICKEN BURGER 100G BULK,1000 GM X 6 PKTS,BURGERS,60.71,81.36,77.29,conflict,,0,auto_high_confidence
12763,30712782,Al Kabeer Breaded/Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,1,CKBBADPR,AK PRO Breaded Chicken Burger Bag 840 g. x 8,840 gm x 8,BURGERS,100.0,91.14,86.58,exact,29.82,1,auto_high_confidence
12763,30712782,Al Kabeer Breaded/Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,2,CKBBAD,Breaded Chicken Burger Bag (56 g.),840 g. x 9,BURGERS,70.18,91.14,86.58,conflict,,0,auto_high_confidence
12763,30712782,Al Kabeer Breaded/Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,57.7,57.5,85.5,conflict,,0,auto_high_confidence
12763,30712782,Al Kabeer Breaded/Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,55.91,52.38,85.5,conflict,,0,auto_high_confidence
12763,30712782,Al Kabeer Breaded/Chicken Burgers 840 gm,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,840 gm,5,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,BURGERS,55.76,51.95,85.5,conflict,,0,auto_high_confidence
12813,30849690,Al Kabeer Zing Chicken Strips 320 Gm,Al Kabeer,Chicken Strips-Frozen,Spicy,Zing,320 gm,1,CKZS,ZING CHICKEN STRIPS,320 Gms x 20 Pkts,STRIPS,89.58,79.37,76.61,exact,22.92,1,auto_high_confidence
